ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
ancia,piida,musica,piida,5
ancora (avverbio di tempo),acamo,,acamo,5
ancora (avverbio di tempo),amo,,amo,3
andare,enda,,enda,4
andare,na,,na,2
andare a letto,na bali,gergo-volgare,na bali,7
andare adagio,enda a belaze,,enda a belaze,13
andare balzelloni,a saltarei,,a saltarei,10
andare di sghimbescio,schinta,,schinta,7
andare in oca,encantas via,,encantas via,12
andare in rovina,na de ana,,na de ana,9
andare senza giacca,na 'n spaleta,,na 'n spaleta,13
andarsene,caasela,,caasela,7
andarsene,sbignasela,arcaico,sbignasela,10
andati,nacc,,nacc,4
andato,nat,,nat,3
andatura,anda,,anda,4
andatura,andada,,andada,6
andatura,andadura,,andadura,8
andiamo,endom,,endom,5
"andito, corridoio",andech,,andech,6
"andito, corridoio",andet,arcaico,andet,5
"andito, corridoio",andeghet,arcaico,andeghet,8
"andito, corridoio",andet,,andet,5
anestesia,sdormia,,sdormia,7
anfora di terracotta,drosa,,drosa,5
anfora di terracotta,olot,"bassabresciana",olot,4
angelica di bosco,bragose,botanica,bragose,7
angelica di bosco,cagnocc,botanica,cagnocc,7
angina di petto,ataco de cor,malattia/male,ataco de cor,12
ITALIANO,BRESCIANO,categoria,bresciano,9
angolatrice (attrezzo del falegname),spisidur,attrezzo,spisidur,8
angolo,cantu,,cantu,5
angoloso,cantunat,,cantunat,8
angoscia,angosa,,angosa,6
angoscia di desiderio,angosa al cor,,angosa al cor,13
angosciato,cor strosat,,cor strosat,11
anice,anes,botanica,anes,4
aniceto,camilot,botanica,camilot,7
aniceto,danet,botanica,danet,5
aniceto,doanet,botanica,doanet,6
aniceto,erba santa,botanica,erba santa,10
animelle,latizi,arcaico,latizi,6
anisetta,mistra,,mistra,6
anitra,nedra,,nedra,5
annacquare il vino,slonga 'l vi,,slonga 'l vi,12
annaffiatoio,sbrufi,,sbrufi,6
annaspare,sgargia,,sgargia,7
annebbiare,envoloma,,envoloma,8
annegare,nega,,nega,4
annessi fetali,secondine,,secondine,9
anni,agn,,agn,3
annidarsi,enmacias,,enmacias,8
annodamento,engropadura,,engropadura,11
annodare,engropa,,engropa,7
annodarsi,engropas,,engropas,8
annoiare,menala,,menala,6
annoiare,remenala,figurativo,remenala,8
annoiarsi,lelola,,lelola,6
annoiarsi,slojas,,slojas,6
annoiato,snojat,,snojat,6
annusare,napa,,napa,4
annusare,nasa,,nasa,4
annusare,snasa,,snasa,5
ano,bus del cul,,bus del cul,11
ansare,ansa,,ansa,4
ansare,bofa,,bofa,4
ansare,smanteza,,smanteza,8
ansare,tira le canele,,tira le canele,14
anta molto grande,antu,,antu,4
anta piccola,antel,,antel,5
"antanello, rete",ontanel,pesce-pesca,ontanel,7
"antica misura di un piede e mezzo(lunghezza del piede di Liutprando, relongobardo)",pedeprand,arcaico,pedeprand,9
anticaglie,anticaje,,anticaje,8
ITALIANO,BRESCIANO,categoria,bresciano,9
antiche monete d'oro,maringhi,,maringhi,8
anticlericale,mangiaprecc,,mangiaprecc,11
anziano,ansia,,ansia,5
"aolarolo, rete a strascico per alborelle",goladin,pesce-pesca,goladin,7
"aolarolo, rete per alborelle",avrarol,pesce-pesca,avrarol,7
"aolarolo, rete per alborelle",orarol,pesce-pesca,orarol,6
ape,aa,insetto,aa,2
ape,ambia,insetto,ambia,5
aperto,deert,,deert,5
aperto,dravert,arcaico,dravert,7
apertura della siepe,sapel,,sapel,5
appaiare,empera,,empera,6
appaltatore,abocadur,arcaico,abocadur,8
appannare,pana,,pana,4
appannato,empanat,,empanat,7
apparecchiare,para,,para,4
